regional_id,name
31,PANAI HILIR
31,RANTAU SELATAN
31,RANTAU UTARA
32,SIDIKALANG
32,BERAMPU
32,SITINJO
32,PARBULUAN
32,SUMBUL
32,SILAHI SABUNGAN
32,SILIMA PUNGGA-PUNGGA
32,LAE PARIRA
32,SIEMPAT NEMPU
32,SIEMPAT NEMPU HULU
32,SIEMPAT NEMPU HILIR
32,TIGA LINGGA
32,GUNUNG SITEMBER
32,PEGAGAN HILIR
32,TANAH PINEM
33,BALIGE
33,TAMPAHAN
33,LAGU BOTI
33,HABINSARAN
33,BORBOR
33,NASSAU
33,SILAEN
33,SIGUMPAR
33,PORSEA
33,PINTU POHAN MERANTI
33,SIANTAR NARUMONDA
33,PARMAKSIAN
33,LUMBAN JULU
33,ULUAN
33,AJIBATA
33,BONATUA LUNASI
34,BATAHAN
34,SINUNUKAN
34,BATANG NATAL
34,LINGGA BAYU
34,RANTO BAEK
34,KOTANOPAN
34,ULU PUNGKUT
34,TAMBANGAN
34,LEMBAH SORIK MARAPI
34,PUNCAK SORIK MARAPI
34,MUARA SIPONGI
34,PAKANTAN
34,PANYABUNGAN
34,PANYABUNGAN SELATAN
34,PANYABUNGAN BARAT
34,PANYABUNGAN UTARA
34,PANYABUNGAN TIMUR
34,HUTA BARGOT
34,NATAL
34,MUARA BATANG GADIS
34,SIABU
34,BUKIT MALINTANG
34,NAGA JUANG
35,HIBALA
35,PULAU-PULAU BATU
35,PULAU-PULAU BATU TIMUR
35,TELUK DALAM
35,FANAYAMA
35,TOMA
35,MANIAMOLO
35,MAZINO
35,AMANDRAYA
35,ARAMO
35,LAHUSA
35,GOMO
35,SUSUA
35,MAZO
35,UMBUNASI
35,LOLOMATUA
35,LOLOWA'U
35,HILIMEGAI
36,SALAK
36,SITELLU TALI URANG JEHE
36,PAGINDAR
36,SITELLU TALI URANG JULU
36,PERGETTENG-GETTENG SENGKUT
36,KERAJAAN
36,TINADA
36,SIEMPAT RUBE
37,PAKKAT
37,ONAN GANJANG
37,SIJAMA POLANG
37,DOLOK SANGGUL
37,LINTONG NIHUTA
37,PARANGINAN
37,BAKTI RAJA
37,POLLUNG
37,PARLILITAN
37,TARA BINTANG
38,SIANJUR MULA MULA
38,HARIAN
38,SITIO-TIO
38,ONAN RUNGGU
38,NAINGGOLAN
38,PALIPI
38,RONGGUR NIHUTA
38,PANGURURAN
38,SIMANINDO
